1月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　
2月13日,金,283.5,187,385.7,147.9,322,221.6,256.5,339.9,344.8,258,97,378.5
2月14日,土,283.5,187,385.7,147.9,322,221.6,256.5,339.9,344.8,258,97,378.5
2月15日,日,283.5,187,385.7,147.9,322,221.6,256.5,339.9,344.8,258,97,378.5
2月16日,月,178.2,84.9,245.2,186.7,773.5,635.8,442.6,443.8,364.5,277.2,152.5,46.6
2月17日,火,27.8,13.9,62.3,27.8,43.2,22.5,77.6,30.6,37.3,38.3,35.5,11.7
2月18日,水,14,16.8,24.4,27.2,25,88.6,99.1,29.3,37.7,63,24.7,18.2
2月19日,木,40.4,11,15.7,53.2,27.2,78.7,73.8,40.1,40.7,59.3,9.9,11.1
2月20日,金,55.7,18.5,81.4,47.5,61.4,84.5,154.9,120.3,87,69.1,72.5,7.2
2月21日,土,55.7,18.5,81.4,47.5,61.4,84.5,154.9,120.3,87,69.1,72.5,7.2
2月22日,日,55.7,18.5,81.4,47.5,61.4,84.5,154.9,120.3,87,69.1,72.5,7.2
2月23日,月,7.7,9,9.7,9.6,21.1,6.5,5.1,1.9,4.6,5.6,5.2,1.2
2月24日,火,9.6,7.4,3.1,4.6,2.2,1.5,2.5,0.3,0.6,1.2,1.5,0
2月25日,水,53.7,30.4,21.9,49.8,109.6,192.9,125.6,53.1,59.3,87.7,36.4,29.9
2月26日,木,68.4,28.1,80.2,56.6,155.7,40.4,36.6,58.3,61.7,49.1,19.1,6.8
2月27日,金,40.3,22.2,42.8,40.4,63.6,252.2,123,127.2,58,93.4,23.7,11
2月28日,土,40.3,22.2,42.8,40.4,63.6,252.2,123,127.2,58,93.4,23.7,11
2月合計,,1543,883.1,1977,1126.6,2495.1,2567.7,2421.7,2381.6,2111.5,1821.1,880.9,1350.2
3月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　
3月1日,日,40.3,22.2,42.8,40.4,63.6,252.2,123,127.2,58,93.4,23.7,11
3月2日,月,245.5,59.7,194.9,179.9,553.4,571,386.7,365.7,362,349.1,145.7,61.1
3月3日,火,21,5.9,23.8,18.4,60.8,15.1,23.1,17.6,16.4,11.7,9.6,2.2
3月4日,水,20.7,10.2,17.1,19.9,14.8,21.9,23.1,6.2,16,25.9,9,8.6
3月5日,木,65.3,25,64.2,84.4,152.5,36.4,38,35.2,39.2,14.8,12,4.6
3月6日,金,132.3,49.5,110.7,113.6,160.9,166.3,224.4,293.5,167.5,33.8,91,36.2
3月7日,土,132.3,49.5,110.7,113.6,160.9,166.3,224.4,293.5,167.5,33.8,91,36.2
3月8日,日,132.3,49.5,110.7,113.6,160.9,166.3,224.4,293.5,167.5,33.8,91,36.2
3月9日,月,8.3,3.7,14.5,8.3,22.8,25.6,18.5,13,14.5,7.4,5.9,7.1
3月10日,火,329.6,119.6,442.3,515.9,675.2,747,602.4,312.9,282.7,224.7,229,132.7
3月11日,水,132.1,47.2,156.2,175.9,177.5,295,334.6,106.8,116.7,174.4,44.1,64.2
3月12日,木,66.5,29.2,81.8,64.5,130.7,146.6,142.4,72.8,112.7,67.9,48.8,42.6
3月13日,金,37.3,19.6,55.1,53.8,53.7,103.5,69.1,52,54.1,50.3,43,15.4
3月14日,土,37.3,19.6,55.1,53.8,53.7,103.5,69.1,52,54.1,50.3,43,15.4
3月15日,日,37.3,19.6,55.1,53.8,53.7,103.5,69.1,52,54.1,50.3,43,15.4
3月16日,月,79.2,81.5,86.3,48.6,111.9,181,82.1,25.6,59.1,62.3,76.2,46.9
3月17日,火,376.1,194.4,282.9,288.9,502.3,240.4,375,94.1,405.3,356.8,54.6,205
3月18日,水,104.3,83.8,144.1,117.7,83.6,158,185.5,135.5,220.6,185.5,90.4,135.8
