1??,?j??,???c,????,????,?k,??c,??~,???????,?????q,???c,???z,????,,
4??23??,??,0.3,0.3,0,0.3,0.3,0,0.9,0.3,0,0,0,,
4??24??,??,0.3,0.9,0.6,0.3,0,0.9,1.2,0.6,1.5,0.3,0,,
4??25??,??,3.7,2.5,2.5,2.2,2.5,4.3,2.5,2.2,1.9,3.7,1.2,,
4??26??,??,0.5,0.2,0.2,0.2,0.2,0.4,1.1,0.4,1.2,0.2,0.1,,
4??27??,?y,0.5,0.2,0.2,0.2,0.2,0.4,1.1,0.4,1.2,0.2,0.1,,
4??28??,??,0.5,0.2,0.2,0.2,0.2,0.4,1.1,0.4,1.2,0.2,0.1,,
4??29??,??,0.5,0.2,0.2,0.2,0.2,0.4,1.1,0.4,1.2,0.2,0.1,,
4??30??,??,0.9,0,0.3,0.3,0,1.5,0.9,8,1.5,0.3,0,,
?S?????v,,449.9,215.9,442.7,262.8,388,1516.9,885.7,630.5,792.8,450.3,331.5,0,
5???@?@,?j??,???c,????,????,?k,??c,??~,???????,?????q,???c,???z,????,,
5??1??,??,0.3,0,0.3,0.3,0,0,0,0,0.9,0,0.6,,
5??2??,??,0.1,0.2,0.1,0.1,0.8,0.6,0.6,0.1,0.6,0.1,0.1,,
5??3??,??,0.1,0.2,0.1,0.1,0.8,0.6,0.6,0.1,0.6,0.1,0.1,,
5??4??,?y,0.1,0.2,0.1,0.1,0.8,0.6,0.6,0.1,0.6,0.1,0.1,,
5??5??,??,0.1,0.2,0.1,0.1,0.8,0.6,0.6,0.1,0.6,0.1,0.1,,
5??6??,??,0.1,0.2,0.1,0.1,0.8,0.6,0.6,0.1,0.6,0.1,0.1,,
5??7??,??,0,0,0,0,0.3,0,1.2,0,1.2,0.3,0,,
5??8??,??,0.3,0,0,0,0.9,0,0.6,0.3,1.5,0.3,0.6,,
5??9??,??,0,0,0.6,0,0,0,0,0,0.6,0,0.3,,
5??10??,??,0,0.2,0,0.1,0.2,0.2,0,0,0.1,0.2,0,,
5??11??,?y,0,0.2,0,0.1,0.2,0.2,0,0,0.1,0.2,0,,
5??12??,??,0,0.2,0,0.1,0.2,0.2,0,0,0.1,0.2,0,,
?T?????v,,1.1,1.6,1.4,1.1,5.8,3.6,4.8,0.8,7.5,1.7,2,0,
