1月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　,
3月25日,火,18.5,21,33,14.8,62,73.7,32.2,78.4,43.2,46.6,42.6,18.2,
3月26日,水,48.1,37.7,153.7,57.1,84,178.4,121.3,64.8,89.5,67.3,97.3,24.7,
3月27日,木,14.2,19.4,92.9,10.2,12.7,331.8,63.9,38.6,5.2,64.2,34.5,53.1,
3月28日,金,71.2,21.7,174.2,98,52,363,81.4,176.4,26.6,108.4,111.4,25.1,
3月29日,土,71.2,21.7,174.2,98,52,363,81.4,176.4,26.6,108.4,111.4,25.1,
3月30日,日,71.2,21.7,174.2,98,52,363,81.4,176.4,26.6,108.4,111.4,25.1,
3月31日,月,140.3,25,132.9,157.3,119.4,372.5,124.1,171,57.8,156.8,195.4,100.3,
3月合計,,3354.6,2643.1,4959.3,4126.1,4758.6,9512.5,6062.5,4516.1,3124.1,3386.7,2991.7,1483.5,
4月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　,
4月1日,火,209.9,53.1,269.4,225.3,263.3,644.8,150,591.4,118.5,270.9,275.9,147.8,
4月2日,水,100.8,38.1,189,76.1,95.1,441.1,204.7,99.1,64.8,219.7,119.7,73.4,
4月3日,木,10.8,40.1,92.6,74.5,83.8,559.2,93.9,122.2,24.6,134,81.8,76,
4月4日,金,61.2,49.6,100.7,56.3,76.1,616.4,124.9,122.9,82.9,172.1,21,27.8,
4月5日,土,61.2,49.6,100.7,56.3,76.1,616.4,124.9,122.9,82.9,172.1,21,27.8,
4月6日,日,61.2,49.6,100.7,56.3,76.1,616.4,124.9,122.9,82.9,172.1,21,27.8,
4月7日,月,10.2,0.3,4.6,4.3,0.6,17.8,7.4,1.8,16.3,8,7.4,0.6,
4月8日,火,6.5,6.8,14.8,5.2,2.8,33.3,19.5,14.2,12.3,31.1,9.9,3.7,
4月9日,水,14.5,3.4,9.6,7.7,5.6,21,9.9,4.3,6.8,5,3.1,3.1,
4月10日,木,0,0,0,0.3,0,5.1,0.3,0.6,0.3,0.3,3.4,0,
4月11日,金,0.3,7.2,8.3,6.8,11.6,114.8,130.5,36.8,53.8,84.1,57.2,9.7,
4月12日,土,0.3,7.2,8.3,6.8,11.6,114.8,130.5,36.8,53.8,84.1,57.2,9.7,
4月13日,日,0.3,7.2,8.3,6.8,11.6,114.8,130.5,36.8,53.8,84.1,57.2,9.7,
4月14日,月,2.5,0.6,2.5,0.9,1.5,51.7,18.9,22.6,20.5,29.6,15.8,17.9,
4月15日,火,1.9,11.7,5.6,10.6,10.8,73.9,18.9,23.8,1.5,23.1,10.5,9.9,
4月16日,水,10.2,9.6,26.2,6.2,12.5,39.2,57.7,27.7,0.9,36.7,10.8,23.8,
4月17日,木,0.3,0.3,0,0.3,0,5.8,0.9,1.5,0,12.9,1.9,0,
4月18日,金,3.3,0.5,3.5,4.1,3.7,22.6,4.4,2.2,3.7,5.7,4.7,3.3,
4月19日,土,3.3,0.5,3.5,4.1,3.7,22.6,4.4,2.2,3.7,5.7,4.7,3.3,
4月20日,日,3.3,0.5,3.5,4.1,3.7,22.6,4.4,2.2,3.7,5.7,4.7,3.3,
4月21日,月,1.9,2.9,5.2,0.3,20.2,19.1,6.2,8,1.4,13.3,1.5,7.4,
4月22日,火,13.6,4,9.6,7.4,12.8,11.1,5.2,4,3.1,6.5,4.6,4.9,
4月23日,水,7.4,5.2,14.7,11.7,14.8,16.2,3.4,3.4,4.6,10.8,4.9,6.2,
4月24日,木,0.6,4.6,3.7,2.8,2.2,3.4,0.9,1.2,0.6,3.4,1.5,0.3,
4月25日,金,1.1,1.5,4.9,2.2,4.8,2.2,0.3,0.5,0.3,2.7,1.6,1.8,
4月26日,土,1.1,1.5,4.9,2.2,4.8,2.2,0.3,0.5,0.3,2.7,1.6,1.8,
4月27日,日,1.1,1.5,4.9,2.2,4.8,2.2,0.3,0.5,0.3,2.7,1.6,1.8,
4月28日,月,3.4,4.8,7.3,5.7,7.3,15.5,4.5,1.4,0.3,20.2,6.3,4.2,
4月29日,火,3.4,4.8,7.3,5.7,7.3,15.5,4.5,1.4,0.3,20.2,6.3,4.2,
4月30日,水,4.3,1.9,7.1,5.6,6.5,6.4,4.6,2.5,0,3.5,1.5,0.9,
4月合計,,599.9,368.6,1021.4,658.8,835.7,4248.1,1391.7,1418.3,698.9,1643,820.3,512.1,
5月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　,
5月1日,木,1.5,0,1.9,2.5,4.3,3.4,0.6,2.2,0.6,2.8,1.5,1.5,
5月2日,金,1.3,0.6,1.7,0.7,3.2,0.7,0,0.3,0.8,1,0.9,0.6,
5月3日,土,1.3,0.6,1.7,0.7,3.2,0.7,0,0.3,0.8,1,0.9,0.6,
5月4日,日,1.3,0.6,1.7,0.7,3.2,0.7,0,0.3,0.8,1,0.9,0.6,
5月5日,月,1.3,0.6,1.7,0.7,3.2,0.7,0,0.3,0.8,1,0.9,0.6,
5月6日,火,1.3,0.6,1.7,0.7,3.2,0.7,0,0.3,0.8,1,0.9,0.6,
5月7日,水,0.3,0.3,0.6,0.7,2.2,1.5,0.3,0.9,0,0.6,0.9,0.6,
5月8日,木,0.9,0,0.9,0.2,1.5,0.3,0,0.6,0.3,0.6,0,0.6,
