1月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
4月合計,,1367.6,1395.9,1677.2,1077.5,1646.3,1832.7,812.1,1216.5,857.2,351.7,655.4,528.1
5月のスギ・ヒノキ花粉の観測値（単位：個/cm2）,,,,,,,,,,,,,
日付,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平
5月1日,木,4.9,3.1,3.4,4,3.7,2.8,1.9,7.4,1.2,0,1.8,0.3
5月2日,金,17,6.2,8,5.2,4.6,6.7,1.7,9.6,4.3,1.8,1.5,2.8
5月3日,土,1.5,9.6,8.3,13.3,9.4,6.7,1.7,9.6,4.3,1.8,1.5,2.8
5月4日,日,0.6,2.8,2.2,0.6,2.2,6.7,1.7,9.6,4.3,1.8,1.5,2.8
5月5日,月,0.6,0.3,1.2,3.1,0,6.7,1.7,9.6,4.3,1.8,1.5,2.8
5月6日,火,0.6,0.3,0.6,0.3,0.3,6.7,1.7,9.6,4.3,1.8,1.5,2.8
5月7日,水,0,0.6,0,0.6,0.6,2.8,0.3,1.2,2.4,0.3,0.6,1.8
5月8日,木,0.6,0.9,1.5,0.3,0.3,0.9,0,0.6,0.6,0.9,0,1.2
5月9日,金,1.8,6.2,1.5,5.9,2.2,3.3,0,1.2,0.5,0.3,0.5,0.5
5月10日,土,0,1.2,0.6,0.3,0.6,3.3,0,1.2,0.5,0.3,0.5,0.5
5月11日,日,0.3,0,0.3,0,0,3.3,0,1.2,0.5,0.3,0.5,0.5
5月12日,月,1.2,0.3,0.9,0.9,1.5,0.3,0,1.5,0.3,0,0.3,0
5月13日,火,0,0,0.3,0.3,0.9,0.3,0,0.3,0.6,0,0,0.3
5月14日,水,0.3,0.3,0.3,0.3,0,0,0,0,0.3,0,0,0
5月合計,,29.4,31.8,29.1,35.1,26.3,50.5,10.7,62.6,28.4,11.1,11.7,19.1
