1月,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平,
1月合計,,1.2,1.5,1.5,1.2,1.2,0.6,1.5,0.6,2.1,1.2,0,0,
2月,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平,
2月1日,月,0,0,0,0,0,0,0,0,0.3,0,0,0,
2月2日,火,0,0.3,0,0.3,0,0,0,0.3,0,0.6,0,0,
2月3日,水,0,0,0,0,0,0.3,0,0,0.3,0.6,0,0,
2月4日,木,0,0,0,0,0,0,0.3,0,0,0,0.3,0.3,
2月5日,金,0,0.3,0.3,0,0,0.5,0.1,0.4,0.7,0,0.1,0.1,
2月6日,土,0,0.3,0,0.3,0,0.5,0.1,0.4,0.7,0,0.1,0.1,
2月7日,日,0,0,0.3,0,0.3,0.5,0.1,0.4,0.7,0,0.1,0.1,
2月8日,月,1.9,1.5,1.2,0.3,0,0,0.3,0.6,3.1,0.9,0.3,0,
2月9日,火,3.7,2.5,3.7,2.5,1.2,3.1,3.1,1.9,6,5.6,0.3,1.9,
2月10日,水,2.5,1.2,0.9,2.5,1.9,0,0.1,0.3,0.5,0.3,0.6,0.7,
2月11日,木,0.3,0,0.9,0,0.6,0,0.1,0.3,0.5,0.3,0.6,0.7,
2月12日,金,0,0,0,0,0,0.3,0.7,0.8,0.4,0.4,0.1,0.4,
2月13日,土,0,0,0,0,0,0.3,0.7,0.8,0.4,0.4,0.1,0.4,
2月14日,日,1.5,1.9,0.9,0.3,0.6,0.3,0.7,0.8,0.4,0.4,0.1,0.4,
2月15日,月,0.3,0,0.3,0,0,0,0,0,0,0.3,0.3,0.3,
2月16日,火,0,0.3,0.3,0.3,0,0,0.3,0,0,0,0.3,0,
2月17日,水,0.3,0.3,0,0.3,0,0.6,0,0,1.2,0.3,0,0,
2月18日,木,0.3,0.3,0.3,0.3,0,2.2,0.6,0,0,0,0.3,0,
2月19日,金,0.3,0.6,0.3,0.9,0,5.2,5.6,3.5,6.5,9.3,0.8,0.7,
2月20日,土,0.9,0.3,2.5,0.6,0.9,5.2,5.6,3.5,6.5,9.3,0.8,0.7,
2月21日,日,5.6,8,3.7,2.8,4.3,5.2,5.6,3.5,6.5,9.3,0.8,0.7,
2月22日,月,5.6,10.5,8.3,3.4,9.6,7,8.3,7.7,17.3,11.3,3.3,5.5,
2月23日,火,14.2,18.5,18.5,8.6,14.8,10.8,26.2,20.4,28.1,33.3,23.1,21.9,
2月24日,水,12.7,21.3,18.8,20.1,13.9,13.6,20.1,30.2,29.3,30.2,19.1,19.1,
2月25日,木,31.5,18.5,64.8,38.6,18.2,96.3,61.4,92.3,102.5,102.5,39.2,34.3,
2月26日,金,6.5,19.1,6.5,8,2.5,52.9,19.5,36.8,29.1,45.9,18.6,10.7,
2月27日,土,73.8,24.4,45.4,42.4,79,52.9,19.5,36.8,29.1,45.9,18.6,10.7,
2月28日,日,14.5,9.3,13.9,42.4,4.9,52.9,19.5,36.8,29.1,45.9,18.6,10.7,
2月合計,,176.4,139.4,191.8,174.9,152.7,310.6,198.5,278.5,299.2,353,146.5,120.4,
3月,曜日,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平,
3月1日,月,49.4,81.8,36.4,61.7,67.3,112,51.9,25.6,65.7,82.4,10.2,22.2,
3月2日,火,36.1,37,10.5,15.7,20.1,17,19.1,23.1,19.4,14.2,8.6,7.1,
3月3日,水,77.8,73.5,125.3,135.8,44.1,298.8,183.6,67.3,83.6,89.8,32.7,23.1,
3月4日,木,35.9,61.4,26.2,33,18.8,29.9,6.3,12.3,15.6,13.3,8,17.3,
3月5日,金,16.4,38.3,21,22.5,10.5,54.2,3.5,26,27.4,29.5,13.7,23,
3月6日,土,75,47.5,34.6,38.9,33,54.2,3.5,26,27.4,29.5,13.7,23,
3月7日,日,7.1,28.4,4.9,6.2,3.4,54.2,3.5,26,27.4,29.5,13.7,23,
3月8日,月,181.3,127.5,74.1,125,128.4,98.5,127.2,133.3,79.5,82.7,36.4,38.3,
3月9日,火,16.4,12.3,8.3,11.1,21.9,13.9,0.6,14.8,9,6.8,0.9,0.3,
3月10日,水,96.3,108.3,118.2,75.6,131.5,117.9,334.9,152.2,225.2,298.1,136.4,115.7,
3月11日,木,97.8,167,103.4,102.8,111.1,209.6,99.4,284.9,214.5,312,129,103.7,
3月12日,金,36.1,104,72.5,42.3,38.9,100.2,76.9,54.5,75.3,78.4,28.6,30.6,
