1月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　,,
2月6日,日,0,0,0.2,0.1,0,3.1,3.2,0.2,0.1,0,0.1,0,,
2月7日,月,0,0,0,0,0,0,0,0,0,0,0,0,,
2月8日,火,0,0,0,0,0,0,0.3,0,0,0,0,0,,
2月9日,水,0.6,0.3,0,0,0,0.6,0,0,0.6,0,0.3,0,,
2月10日,木,0.1,0,0.1,0,0.3,3.1,0,0.9,0.3,0.3,0,0,,
2月11日,金,0.1,0,0.1,0,0.3,0,0,0,0,0,0,0,,
2月12日,土,0.1,0,0.1,0,0.3,0,0,0,0,0,0,0,,
2月13日,日,0.1,0,0.1,0,0.3,0,0,0,0,0,0,0,,
2月14日,月,0,0,0,0,0,0.6,0.3,0,0,0,0.3,0,,
2月15日,火,0,0,0,0,0,0.6,0,0,0,0,0,0,,
2月16日,水,0,0,0,0,0,0,0,0,0,0,0,0,,
2月17日,木,0,0.3,0.6,0,0,0.9,0.3,0,0,0.6,0.9,0,,
2月18日,金,0,0,0,0,0,0,0,0,0,0,0,0,,
2月19日,土,0,0,0,0,0,0,0,0,0,0,0,0,,
2月20日,日,0.6,0.6,1.5,0.6,1.5,4.6,0.6,0.9,1.2,1.2,0,0,,
2月21日,月,0,0.3,0,0,0.3,1.5,0.3,0.9,1.9,0,0,0,,
2月22日,火,11.4,6.5,10.2,8.7,9,3.4,2.2,4.3,16,3.4,0,0.6,,
2月23日,水,12,9.9,3.7,2.8,10.5,8.3,4.6,7.4,27.5,1.9,1.9,0.6,,
2月24日,木,7.4,1.2,5.9,6.8,11.1,3.7,1.9,3.7,3.4,0.3,1.9,0,,
2月25日,金,17.8,6.5,16.6,7.6,10.6,8.1,4.5,10.7,4.8,6.3,2.6,1.7,,
2月26日,土,17.8,6.5,16.6,7.6,10.6,8.1,4.5,10.7,4.8,6.3,2.6,1.7,,
2月27日,日,17.8,6.5,16.6,7.6,10.6,8.1,4.5,10.7,4.8,6.3,2.6,1.7,,
2月28日,月,3.1,2.2,6.5,2.6,7.4,8.6,8.3,10.2,9.6,10.2,2.5,4,,
2月合計,,89.8,40.8,79.5,44.9,72.8,70.1,42.2,61.9,75.2,37.7,16.2,10.3,0,
3月,曜日,千代田,葛飾　,杉並　,北　　,大田　,青梅　,八王子,多摩　,町田　,立川　,府中　,小平　,,
3月1日,火,2.5,2.2,1.9,2.5,2.7,12,7.1,8.3,4.3,7.7,1.9,5.2,,
3月2日,水,20.5,12.7,22.2,20.4,45.7,4,0.9,19.8,21.6,25.9,5.2,5.5,,
3月3日,木,7.4,0,0.9,10.8,4,0.9,26.2,0.3,4,1.2,0,0,,
3月4日,金,7.4,4.5,6.6,6.5,11.6,0.8,5.1,5.5,2.7,7.3,3.5,1.5,,
3月5日,土,7.4,4.5,6.6,6.5,11.6,0.8,5.1,5.5,2.7,7.3,3.5,1.5,,
3月6日,日,7.4,4.5,6.6,6.5,11.6,0.8,5.1,5.5,2.7,7.3,3.5,1.5,,
3月7日,月,66.2,54,35.2,40.4,99.7,7.7,25.3,22.5,90.1,17.3,22.8,18.2,,
3月8日,火,267,321.6,355.9,253.1,379,377.8,311.4,360,636.7,230.9,196.3,166.6,,
3月9日,水,430.9,292.6,421.9,533.6,663.5,485.2,354.6,105.7,427.8,292.6,224.1,248.1,,
3月10日,木,263.3,263.3,373.1,341.7,262,221.3,393.8,174.1,338.3,433.3,303.1,205.8,,
3月11日,金,179.1,81.9,221.5,186.3,226.9,1087.4,644.9,459.6,369.6,446.3,198.6,120.5,,
3月12日,土,179.1,81.9,221.5,186.3,226.9,1087.4,644.9,459.6,369.6,446.3,198.6,120.5,,
3月13日,日,179.1,81.9,221.5,186.3,226.9,1087.4,644.9,459.6,369.6,446.3,198.6,120.5,,
3月14日,月,175.6,92,204.8,165.4,115.9,320.7,531.4,241.7,339.3,254.3,479,204.3,,
3月15日,火,190.4,101.9,249.1,129.3,125.6,221.3,383.6,386.1,360.5,265.4,205.2,179.3,,
3月16日,水,136.4,54,100,77.2,66.6,267.3,150.6,65.7,78.7,90.7,24.1,50.9,,
